SMILES,molar_mass,log_p_sat,c,volatility
CCC(=O)C=CC1C(C=O)O1,154.1632,-3.744727494896694,0.011193972170208325,IVOC
CC12C=CC(=O)C(C)(C1(C)O)OO2,184.1892,-4.332547047110047,0.0034550005094406886,IVOC
CCC(=O)CC=O,100.1158,-0.5800442515102421,10.62158604851192,VOC
CC(CCO)CO,104.1476,-3.3027706572402824,0.020922308931379446,IVOC
CCOCC,74.1216,2.0453229787866576,3318.935141635467,VOC
CCC(C)(C(=O)OON(=O)=O)ON(=O)=O,224.1256,-0.5528419686577808,25.31514957773277,VOC
CC1(C)C2CC1(CCC2=O)O,154.2063,-4.046240308266771,0.00559233024401358,IVOC
CC(C(C)OO)O,106.1204,-2.832682665251824,0.06292847602440942,IVOC
CC(C)(CC(=O)C(=O)CCO)O,174.1944,-4.438898616350944,0.0025577999474778626,IVOC
CC(C)(C(C)(C)OO)ON(=O)=O,179.1711,-1.844663962534938,1.0335583470997793,IVOC
CC(=CC(=O)O)CO,116.1152,-4.838631997765025,0.0006791849878499443,IVOC
C(C(Cl)OO)Cl,130.958,-1.0525662781129492,4.680548578155421,VOC
CCC(=O)C(=CC(=O)O)C,142.1525,-4.027797161620936,0.005378836478817235,IVOC
CC(=O)CC(=O)OO,118.088,-1.913640169325252,0.5811611830389927,IVOC
CC(=O)C(C(=O)C(=O)C)O,144.1253,-2.072116589669293,0.4924414890799056,IVOC
CCCCCCCCCCCC,170.3348,-1.6363880201078558,1.587253765630471,IVOC
CCC(C)(C)CON(=O)=O,147.1723,-0.1018235165023234,46.960591858592096,VOC
CCCC(C(C)O)OO,134.1736,-3.503070351926785,0.01699525643150579,IVOC
CCCCCCCCCC(CC)OO,202.3336,-4.309803919971486,0.00399940228160104,IVOC
C(C(=O)OO)O,92.0508,-1.2471835688117283,2.101720690548515,IVOC
CCC(=CC(=O)C(C(=O)C)O)C(=O)OON(=O)=O,261.1855,-3.5257837359237447,0.031397591032031144,IVOC
CC(CON(=O)=O)OO,137.0914,-0.9956786262173574,5.585506821986364,VOC
CC(=O)C=CC1C(C(=O)OO)O1,172.1354,-4.446116973356125,0.002485903243390227,IVOC
CC(=O)C(C)(OC(=O)C)OO,162.1406,-2.0665127121512947,0.5611901825699557,IVOC
CC1=CC(=O)C(C(C)(C1=O)O)O,170.1626,-4.709965388637482,0.0013385349808154499,IVOC
